R1_pre_joint_F,0.48816990792730747
R1_pre_joint_p,0.6904853526853081
R2_pseudo_mean,7.749521512707649e-05
R2_pseudo_sd,0.007402550590230527
R2_pseudo_p5,-0.011583926698264588
R2_pseudo_p95,0.01150549946477838
R2_true_estimate,0.12092
R3_est,0.12053394343428638
R3_se,0.005261080257719042
R3_p,3.6518688873311617e-116
R4a_no_ctrl_est,0.12090781534821218
R4a_no_ctrl_se,0.00472357800817359
R4b_full_ctrl_est,0.12092759291041705
R4b_full_ctrl_se,
R4c_plus_size_est,0.12082199884789886
R4c_plus_size_se,0.0048064647497733275
R5_cluster_industry_est,0.12091953763494466
R5_cluster_industry_se,0.0019011542614661855
R5_cluster_province_est,0.12091953763494466
R5_cluster_province_se,0.003248522295020017
R5_cluster_twoway_est,0.12091953763494456
R5_cluster_twoway_se,0.02479919103793383
R6_winsor_est,0.11698698783246309
R6_winsor_se,0.0052339593143997595
R6_winsor_p,1.1668198071649875e-110
R7_drop_electronics_est,0.1203819066290437
R7_drop_extreme_size_est,0.12095433320066722
R7_window_2018_2022_est,0.08147111811885023
